CO2Treatment,NTreatment,Monolith,Date Sampled,Order,d13C,C:N
Elevated,Unfertilized,2_3,7/11/14,5,-29.78,70.17
Elevated,Unfertilized,3_1,7/11/14,2,-30.01,33.58
Elevated,Unfertilized,3_1,7/11/14,3,-29.58,38.63
Elevated,Unfertilized,3_1,7/11/14,4,-29.89,37.14
Elevated,Unfertilized,3_1,7/11/14,5,-30.12,51.02
Elevated,Unfertilized,4_2,7/11/14,1,-29.92,33.36
Elevated,Unfertilized,4_2,7/11/14,2,-29.93,39.44
Elevated,Unfertilized,4_2,7/11/14,3,-29.76,43.25
Elevated,Unfertilized,4_2,7/11/14,4,-29.35,57.61
Elevated,Unfertilized,4_2,7/11/14,5,-30.02,69.10
Elevated,Unfertilized,7_3,7/11/14,1,-29.64,29.83
Elevated,Unfertilized,7_3,7/11/14,2,-30.08,43.28
Elevated,Unfertilized,7_3,7/11/14,3,-29.96,43.03
Elevated,Unfertilized,7_3,7/11/14,4,-29.50,50.56
Elevated,Unfertilized,7_3,7/11/14,5,-29.63,69.62
