"root","ruid","session","maxdiam","rightcens","co2treat","ntreat","agedays","ageyears","sessdead"
6.1,"1-2-1-6.1-19",19,0.000329341317365269,FALSE,"AMBIENT",0,47,0.128678986995209,19
1,"1-2-2-1-84",84,0.000868421052631579,FALSE,"AMBIENT",0,389,1.06502395619439,84
2,"1-2-2-2-104",104,0.000421052631578947,TRUE,"AMBIENT",0,394,1.07871321013005,NA
1.1,"1-2-3-1.1-9",9,0.000329341317365269,FALSE,"AMBIENT",0,129,0.353182751540041,9
2.1,"1-2-3-2.1-22",22,0.000269461077844311,FALSE,"AMBIENT",0,164,0.449007529089665,22
1,"1-2-4-1-67",67,0.000236842105263158,FALSE,"AMBIENT",0,146,0.399726214921287,67
1.1,"1-2-5-1.1-61",61,0.00029940119760479,TRUE,"AMBIENT",0,76,0.20807665982204,NA
1.1,"1-2-7-1.1-13",13,0.000538922155688623,FALSE,"AMBIENT",0,203,0.555783709787817,13
1,"1-2-8-1-67",67,0.000263157894736842,FALSE,"AMBIENT",0,173,0.473648186173854,67
1,"1-2-9-1-71",71,0.000421052631578947,FALSE,"AMBIENT",0,380,1.0403832991102,71
1.1,"1-2-9-1.1-29",29,0.000958083832335329,FALSE,"AMBIENT",0,809,2.21492128678987,29
2.1,"1-2-9-2.1-11",11,0.000479041916167665,FALSE,"AMBIENT",0,163,0.446269678302533,11
3.1,"1-2-9-3.1-11",11,0.000479041916167665,FALSE,"AMBIENT",0,135,0.369609856262834,11
4.1,"1-2-9-4.1-11",11,0.000568862275449102,FALSE,"AMBIENT",0,101,0.276522929500342,11
5.1,"1-2-9-5.1-57",57,0.000269461077844311,FALSE,"AMBIENT",0,295,0.80766598220397,57
1,"1-2-10-1-83",83,5e-04,FALSE,"AMBIENT",0,676,1.8507871321013,83
2,"1-2-10-2-69",69,0.000368421052631579,FALSE,"AMBIENT",0,270,0.739219712525667,69
1,"1-2-11-1-78",78,0.000394736842105263,FALSE,"AMBIENT",0,565,1.54688569472964,78
1.1,"1-2-11-1.1-31",31,0.000479041916167665,FALSE,"AMBIENT",0,800,2.19028062970568,31
2,"1-2-11-2-104",104,0.000684210526315789,TRUE,"AMBIENT",0,29,0.0793976728268309,NA
2.1,"1-2-11-2.1-40",40,0.000359281437125748,FALSE,"AMBIENT",0,1022,2.79808350444901,40
3.1,"1-2-11-3.1-32",32,0.000359281437125748,FALSE,"AMBIENT",0,766,2.09719370294319,32
4.1,"1-2-11-4.1-31",31,0.00029940119760479,FALSE,"AMBIENT",0,730,1.99863107460643,31
5.1,"1-2-11-5.1-61",61,0.000359281437125748,TRUE,"AMBIENT",0,463,1.26762491444216,NA
1,"1-2-13-1-84",84,0.000289473684210526,FALSE,"AMBIENT",0,635,1.73853524982888,84
1.1,"1-2-13-1.1-13",13,0.000419161676646707,FALSE,"AMBIENT",0,407,1.11430527036277,13
2.1,"1-2-13-2.1-57",57,0.000329341317365269,FALSE,"AMBIENT",0,483,1.3223819301848,57
3.1,"1-2-13-3.1-57",57,0.00029940119760479,FALSE,"AMBIENT",0,204,0.558521560574949,57
